database_name;docf;hidden_channels;num_layers;p_dropout;loss_function;version;loss_test;micro_test;acc_test;epoch_convergence
nsf;None;20;2;0,0;ce;1;0,41407498717308044;0,884008257501212;0,8835462058602555;337
nsf;None;20;2;0,0;fl;1;0,42574402689933777;0,8765377311104274;0,8767843726521413;127
nsf;None;20;2;0,2;ce;1;0,6475192904472351;0,8806224059128095;0,8805409466566492;880
nsf;None;20;2;0,2;fl;1;0,3754090964794159;0,8786217952757692;0,8782870022539444;590
nsf;None;20;3;0,0;ce;1;0,5002005100250244;0,8921982571669079;0,8918106686701728;106
nsf;None;20;3;0,0;fl;1;0,4795605540275574;0,8834998571194582;0,8835462058602555;79
nsf;None;20;3;0,2;ce;1;0,550852358341217;0,8715774233034089;0,8715251690458302;230
nsf;None;20;3;0,2;fl;1;0,62523353099823;0,8729599659574026;0,8730277986476334;1188
nsf;None;20;4;0,0;ce;1;0,4676882028579712;0,885080240804215;0,8850488354620586;93
nsf;None;20;4;0,0;fl;1;0,344751238822937;0,8926098749537615;0,8925619834710744;101
nsf;None;20;4;0,2;ce;1;0,7968404293060303;0,8667366855255836;0,8662659654395192;259
nsf;None;20;4;0,2;fl;1;0,6432446837425232;0,8792242971744885;0,879038317054846;650
nsf;None;40;2;0,0;ce;1;0,6933743953704834;0,8894394184457899;0,8895567242674681;66
nsf;None;40;2;0,0;fl;1;0,3396065831184387;0,8921006962314854;0,8918106686701728;81
nsf;None;40;2;0,2;ce;1;0,4288254380226135;0,882525271652878;0,8820435762584523;172
nsf;None;40;2;0,2;fl;1;0,3229629099369049;0,8833291424161888;0,8827948910593538;278
nsf;None;40;3;0,0;ce;1;0,5981215238571167;0,8888055286411253;0,8888054094665665;55
nsf;None;40;3;0,0;fl;1;0,33827048540115356;0,892136577419875;0,8918106686701728;53
nsf;None;40;3;0,2;ce;1;0,601383626461029;0,8766190632675993;0,8760330578512396;267
nsf;None;40;3;0,2;fl;1;0,3130861818790436;0,8812263040881875;0,8812922614575507;121
nsf;None;40;4;0,0;ce;1;0,4667661488056183;0,8789408037696294;0,879038317054846;90
nsf;None;40;4;0,0;fl;1;0,2685564458370209;0,8875594878288809;0,8873027798647634;86
nsf;None;40;4;0,2;ce;1;0,5217886567115784;0,8881470103920428;0,8880540946656649;83
nsf;None;40;4;0,2;fl;1;0,3203461468219757;0,8756050956424319;0,8752817430503381;131
nsf;None;100;2;0,0;ce;1;0,6187127232551575;0,8915185900651894;0,8910593538692713;33
nsf;None;100;2;0,0;fl;1;0,4566221237182617;0,8896717120333967;0,8895567242674681;27
nsf;None;100;2;0,2;ce;1;0,6237231492996216;0,888284889164933;0,8880540946656649;33
nsf;None;100;2;0,2;fl;1;0,3974955081939697;0,8910386599779795;0,8910593538692713;31
nsf;None;100;3;0,0;ce;1;0,40763720870018005;0,8888801579096224;0,8888054094665665;28
nsf;None;100;3;0,0;fl;1;0,35448747873306274;0,8872122579802402;0,8873027798647634;22
nsf;None;100;3;0,2;ce;1;0,49868690967559814;0,8859691457627438;0,8858001502629602;60
nsf;None;100;3;0,2;fl;1;0,3343730866909027;0,8889460886407664;0,8888054094665665;22
nsf;None;100;4;0,0;ce;1;0,5706618428230286;0,8908575921095135;0,8910593538692713;19
nsf;None;100;4;0,0;fl;1;0,30674514174461365;0,890403021160792;0,8903080390683696;36
nsf;None;100;4;0,2;ce;1;0,7821167707443237;0,884648982604363;0,8842975206611571;152
nsf;None;100;4;0,2;fl;1;0,4830203056335449;0,8858861411940085;0,8858001502629602;461
nsf;merge;20;2;0,0;ce;1;0,3540438711643219;0,8928501241271916;0,8925619834710744;267
nsf;merge;20;2;0,0;fl;1;0,45745211839675903;0,8947711136979241;0,8948159278737791;111
nsf;merge;20;2;0,2;ce;1;0,4256240427494049;0,8935368370379273;0,8933132982719759;1196
nsf;merge;20;2;0,2;fl;1;0,24657854437828064;0,895688485340467;0,8955672426746807;1193
nsf;merge;20;3;0,0;ce;1;0,4101031422615051;0,8963747259963908;0,8963185574755823;122
nsf;merge;20;3;0,0;fl;1;0,24491232633590698;0,8956763143118079;0,8955672426746807;808
nsf;merge;20;3;0,2;ce;1;0,42272499203681946;0,8926886805858619;0,8925619834710744;1469
nsf;merge;20;3;0,2;fl;1;0,25350141525268555;0,899204828965334;0,8993238166791886;765
nsf;merge;20;4;0,0;ce;1;0,384902685880661;0,8970208129113246;0,8970698722764838;269
nsf;merge;20;4;0,0;fl;1;0,247331440448761;0,8934950296354068;0,8933132982719759;528
nsf;merge;20;4;0,2;ce;1;0,4485316276550293;0,8962827744896219;0,8963185574755823;1344
nsf;merge;20;4;0,2;fl;1;0,2566660940647125;0,8976988727288207;0,8978211870773855;1169
nsf;merge;40;2;0,0;ce;1;0,5320108532905579;0,894854341497644;0,8948159278737791;84
nsf;merge;40;2;0,0;fl;1;0,23808108270168304;0,8979938183600205;0,8978211870773855;1147
nsf;merge;40;2;0,2;ce;1;0,4042212665081024;0,8994318882612771;0,8993238166791886;1474
nsf;merge;40;2;0,2;fl;1;0,23937295377254486;0,9001615425423016;0,9000751314800901;795
nsf;merge;40;3;0,0;ce;1;0,3826276659965515;0,8956974917064975;0,8955672426746807;341
nsf;merge;40;3;0,0;fl;1;0,24393995106220245;0,8958371202018651;0,8955672426746807;755
nsf;merge;40;3;0,2;ce;1;0,41359031200408936;0,8993688752823421;0,8993238166791886;1386
nsf;merge;40;3;0,2;fl;1;0,24768449366092682;0,9009303776518518;0,9008264462809917;1301
nsf;merge;40;4;0,0;ce;1;0,39199894666671753;0,8987927758594183;0,898572501878287;279
nsf;merge;40;4;0,0;fl;1;0,24477311968803406;0,8964846500184674;0,8963185574755823;429
nsf;merge;40;4;0,2;ce;1;0,4333801865577698;0,8994201026673971;0,8993238166791886;1310
nsf;merge;40;4;0,2;fl;1;0,2487366944551468;0,8985323665265387;0,898572501878287;503
nsf;merge;100;2;0,0;ce;1;0,40726205706596375;0,8980872641734181;0,8978211870773855;811
nsf;merge;100;2;0,0;fl;1;0,24902155995368958;0,8995346771369608;0,8993238166791886;766
nsf;merge;100;2;0,2;ce;1;0,42525365948677063;0,899493567668533;0,8993238166791886;1360
nsf;merge;100;2;0,2;fl;1;0,23545393347740173;0,9001848265392194;0,9000751314800901;802
nsf;merge;100;3;0,0;ce;1;0,40071120858192444;0,8981008951507956;0,8978211870773855;271
nsf;merge;100;3;0,0;fl;1;0,2474168986082077;0,8979584125431953;0,8978211870773855;279
nsf;merge;100;3;0,2;ce;1;0,46225813031196594;0,9009839846222951;0,9008264462809917;937
nsf;merge;100;3;0,2;fl;1;0,24665486812591553;0,9018452908417602;0,9015777610818934;386
nsf;merge;100;4;0,0;ce;1;0,3472568988800049;0,8987071926212786;0,898572501878287;32
nsf;merge;100;4;0,0;fl;1;0,24105805158615112;0,8949749444316077;0,8948159278737791;152
nsf;merge;100;4;0,2;ce;1;0,41722720861434937;0,9001764107121276;0,9000751314800901;403
nsf;merge;100;4;0,2;fl;1;0,2973322570323944;0,9015952403010586;0,9015777610818934;647
